id,equ_id,location,subdistric,distric,provine,lat,lng
176,MD03,ศูนย์พัฒนาเด็กเล็กบ้านดอนกลอย 11.8,ค้อเหนือ,เมือง,ยโสธร,15.83947,104.0462
177,NA01,ที่ทำการ อบต.วังปลาป้อม,วังปลาป้อม,นาวัง,หนองบัวลำภู,17.425358,102.0017
178,NA02,วัดกัณธาราม ม.4 บ้านหนองผือ,หนองแก,ศรีบุญเรือง,หนองบัวลำภู,17.04955,102.28831
179,NA03,ศาลาเอนกประสงค์ บ้านตาดไฮ ม.5,โคกม่วง,โนนสัง,หนองบัวลำภู,16.906719,102.412417
180,NB01,อบต.ไผ่ล้อม,ไผ่ล้อม,บ้านแพง,นครพนม,17.98788,104.18133
181,NB02,อบต.โนนตาล ท่าอุเทน,ท่าอุเทน,ท่าอุเทน,นครพนม,17.54613,104.58247
182,NB03,อบต.นาแก,นาแก,นาแก,นครพนม,16.929878,104.516155
183,NC01,อบ.ตดินจี,ดินจี,คำม่วง,กาฬสินธุ์,16.93589,103.73299
184,NC02,ศูนย์พัฒนาเด็กเล็กบ้านขมิ้น,ผาเสวย,สมเด็จ,กาฬสินธุ์,16.77555,103.84005
185,NC03,อบต.ลำชี,ลำชี,ฆ้องชัย,กาฬสินธุ์,16.21338,103.48117
186,ND01,วัดบ้านหนองแค,ม่วงลาด,จังหาร,ร้อยเอ็ด,16.19463,103.516
187,NEO1,ที่ว่าการอำเภอพิบูลมังสาหาร,พิบูล,พิบูลย์มังสาหาร,อุบลราชธานี,15.24511,105.22867
188,NE02,บริเวณสนามข้างองค์การบริหารส่วนตำบลหนามแท่ง,หนามแห่ง,ศรีเมืองใหม่,อุบลราชธานี,15.574626,105.472995
189,NE05,สถานที่ชุมชนแสนตอ,ในเมือง,เมืองอุบลราชธานี,อุบลราชธานี,15.22919,104.83664
190,NF01,บ้านท่ามะปราง,หมูสี,ปากช่อง,นครราชสีมา,14.516389,101.37717
191,NF04,วัดบ้านลำเชิงไกร ม.9,โคกสูง,เมืองนครราชสีมา,นครราชสีมา,15.12747,102.09277
192,NG01,ศูนย์พัฒนาเด็กประถมวัย บ้านหินปูน,เขวาใหญ่,กันทรวิชัย,มหาสารคาม,16.19063,103.16844
193,NH01,ม.8 บ้านท่านางแมว,ท่านางแนว,แวงน้อย,ขอนแก่น,15.85654,102.33189
194,NJ01,บ้านวังเลา ม.1,โนนทอง,นายูง,อุดรธานี,17.97177,102.24708
195,NJ02,บ้านเพิ่ม ม.2,นาแค,นายูง,อุดรธานี,17.97677,102.07817
196,NJ03,โรงเรียนบ้านนาเกิน,หนองแวง,น้ำโสม,อุดรธานี,17.86052,102.25653
197,NK03,โรงเรียนบ้านนาสีดา,ชานุมาน,ชานุมาน,อำนาจเจริญ,16.26422,104.98539
198,NK04,วัดดอนว่าน,หัวตะพาน,หัวตะพาน,อำนาจเจริญ,15.71734,104.42702
199,NK05,ที่ทำการ อบต.นาวัง,นาวัง,เมืองอำนาจเจริญ,อำนาจเจริญ,15.9992,104.5675
200,NM03,อุทยานแห่งชาติน้ำตกตาดโตน,ห้วยต้อน,เมือง,ชัยภูมิ,15.98494,102.03861
201,NM04,อุทยานแห่งชาติน้ำตกไทรทอง,วังตะเข้,หนองระเหว,ชัยภูมิ,15.87957,101.50668
202,NN04,ศูนย์พัฒนาเด็กเล็ก ม.5,ชัยพฤกษ์,เมืองเลย,เลย,17.50796,101.73758
203,NP03,แก่งกระเบา,ป่งขาม,หว้านใหญ่,มุกดาหาร,16.80213,104.73306
204,NP04,สนามกีฬาประจำจังหวัด,มุกดาหาร,เมือง,มุกดาหาร,16.54344,104.71925
205,NP05,วัดหนองตะแบง ม.7,วง,หนองสูง,มุกดาหาร,16.44786,104.44583
206,NT03,อบ.ตหนองเดิน,หนองเดิน,บุ่งคล้า,บึงกาฬ,18.318333,103.96633
207,NT04,อบต.นางิ้ว,นางิ้ว,สังคม,หนองคาย,18.099361,102.14844
208,NT05,อบ.ตสังคม,สังคม,สังคม,หนองคาย,18.103417,102.23456
209,WB01,อ่าวต้นไทร (พีพี 1),อ่าวนาง,เมือง,กระบี่,7.73993,98.77328
210,WB02,บ้านโละบาเกา (พีพี 2),อ่าวนาง,เมือง,กระบี่,7.74357,98.77459
211,WB03,หาดอ่าวนาง,อ่าวนาง,เมือง,กระบี่,8.03245,98.82048
212,WB04,อุทยานหาดนพรัตน์ธารา,อ่าวนาง,เมือง,กระบี่,8.04598,98.80252
213,WB05,หาดนพรัตน์ธารา,อ่าวนาง,เมือง,กระบี่,8.03935,98.81544
214,WB06,บ้านคลองม่วง,หนองทะเล,เมือง,กระบี่,8.04982,98.75893
215,WB07,โรงเรียนบ้านแหลมโพธิ์,ไสไทย,เมือง,กระบี่,8.03235,98.89185
216,WB08,บ้านคลองนิน,เกาะลันตาใหญ่,เกาะลันตา,กระบี่,7.54491,99.04644
217,WB09,บ้านศาลาด่าน,ศาลาด่าน,เกาะลันตา,กระบี่,7.64735,99.03523
218,WB10,บ้านเลขที่ 58 ม.1 บ้านคลองเตาะ,เกาะศรีบอยา,เหนือคลอง,กระบี่,7.91494,98.98441
219,WB11,มัสยิดบ้านติงไทร,เกาะศรีบอยา,เหนือคลอง,กระบี่,7.81532,98.96847
220,WB12,อ่าวไร่เลย์,อ่าวนาง,เมือง,กระบี่,8.0093,98.84041
221,WB13,บ้านแหลมสัก,แหลมสัก,อ่าวลึก,กระบี่,8.02893,98.92782
222,WB14,บ้านบากัน,อ่าวลึกน้อย,อ่าวลึก,กระบี่,8.30893,98.71909
223,WB15,บ้านท่าเลน,เขาทอง,เมือง,กระบี่,8.14278,98.74619
224,WB16,บ้านคลองประสงค์ ม.2,คลองประสงค์,เมือง,กระบี่,8.029225,98.92804
225,WB17,อ่าวต้นไทร เกาะพีพี,อ่าวนาง,เมือง,กระบี่,7.7388,98.77024
226,WB18,เกาะปอดะ,อ่าวนาง,เมือง,กระบี่,7.97034,98.80991
227,WB19,เกาะห้อง,เขาทอง,เมือง,กระบี่,8.07922,98.68048
228,WB20,บ้านเกาะกวาง,หนองทะเล,เมือง,กระบี่,8.07449,98.74402
229,WB21,บ้านแหลมกรวด,คลองขาน,เหนือคลอง,กระบี่,7.89155,99.02612
230,WB22,ท่าเทียบเรือบ้านเกาะปู,เกาะศรีบอยา,เหนือคลอง,กระบี่,7.84892,98.97363
231,WB23,โรงเรียนบ้านเกาะจำ,ตลิ่งชัน,เหนือคลอง,กระบี่,7.79306,98.99129
232,WB24,บ้านหาดยาว,ตลิ่งชัน,เหนือคลอง,กระบี่,7.97454,98.94955
233,WB25,บ้านท่ามะพร้าว,คลองพล,คลองท่อม,กระบี่,7.72392,99.18959
234,WB26,บ้านบ่อม่วง,ทรายขาว,คลองท่อม,กระบี่,7.67705,99.19907
235,WB27,โรงเรียนบ้านปากคลอง,เกาะกลาง,เกาะลันตา,กระบี่,7.76706,99.02416
236,WB28,บ้านลันตาน้อย,เกาะลันตาน้อย,เกาะลันตา,กระบี่,7.6715,99.04283
237,WB29,บ้านคลองดาว,ศาลาด่าน,เกาะลันตา,กระบี่,7.62543,99.03235
238,WB30,บ้านคลองโตบ,เกาะลันตาใหญ่,เกาะลันตา,กระบี่,7.5495,99.04501
239,WB31,เทศบาลตำบลเกาะลันตาใหญ่,เกาะลันตาใหญ่,เกาะลันตา,กระบี่,7.53044,99.09495
240,WB32,เกาะรอก,เกาะลันตาใหญ่,เกาะลันตา,กระบี่,7.21727,99.06587
241,WF01,สถานีตรวจอากาศคึกคัก ม.3,คึกคัก,ตะกั่วป่า,พังงา,8.69039,98.24146
242,WF02,ที่สาธารณะประโยชน์ ม.2,ลำแก่น,ท้ายเหมือง,พังงา,8.61479,98.23891
243,WF03,บ้านปากวีป ม.2,คึกคัก,ตะกั่วป่า,พังงา,8.75393,98.25726
244,WF04,ร.ร.ราชประชานุเคราะห์ 35 ม.8 บ้านบางสักใต้,บางม่วง,ตะกั่วป่า,พังงา,8.772897,98.265978
245,WF05,หาดทับตะวัน บ้านไทยใหม่ ม.7,บางม่วง,ตะกั่วป่า,พังงา,8.8039,98.26182
246,WF06,มัสยิดนูรุดอิสลาม บ้านในไร่ ม.7,นาเตย,ท้ายเหมือง,พังงา,8.31533,98.2709
247,WF07,แหลมประการัง บ้านบางขยะ 11.2,คึกคัก,ตะกั่วป่า,พังงา,8.727118,98.225669
248,WF08,ศูนย์เอนกประสงค์ บ้านทับละมุ ม.5,ลำแก่น,ท้ายเหมือง,พังงา,8.56979,98.22726
249,WF09,อนุสรณ์ 5 ธันวา บ้านน้ำเค็ม ม.2,บางม่วง,ตะกั่วป่า,พังงา,8.85776,98.27307
250,WF10,บ้านทุ่งนางดำ ม.5,คุระ,คุระบุรี,พังงา,9.25446,98.36848
251,WF11,บริเวณปากซอยแหลมบ่อนไก่,เกาะคอเขา,ตะกั่วป่า,พังงา,9.0014,98.2575
252,WF12,บริเวณอำเภอเก่า ม.1,เกาะคอเขา,ตะกั่วป่า,พังงา,8.99643,98.30856
253,WF13,ร.ร.บ้านทุ่งดาบ ม.1,เกาะพระทอง,คุระบุรี,พังงา,9.03583,98.25609
254,WF14,อุทยานแห่งชาติ หมู่เกาะสุรินทร์เหนือ,เกาะพระทอง,คุระบุรี,พังงา,9.43302,97.8695
255,WF15,เกาะคอเขารีสอร์ท ม.4,เกาะคอเขา,ตะกั่วป่า,พังงา,8.90536,98.25635
256,WF16,หาดนางทอง บางหลาโอน,คึกคัก,ตะกั่วป่า,พังงา,8.64512,98.24721
257,WF17,ร.ร.บ้านน้ำเค็ม,บางม่วง,ตะกั่วป่า,พังงา,8.85791,98.27554
258,WF18,หาดบางเนียง,คึกคัก,ตะกั่วป่า,พังงา,8.65879,98.246739
259,WF31,ท่าเทียบเรือโต๊ะจาก หมู่ 3,พรุใน,เกาะยาว,พังงา,7.93324,98.57492
260,WF35,โรงซ่อมเรือ (ท่าเรือทุ่งละออง) ม.4,บางวัน,คุระบุรี,พังงา,9.0441,98.322775
261,WF36,สำนักงานป้องกันและบรรเทาสาธารณภัย องค์การบริหารส่วนตำบลคุระ (ท่าเทียบเรือทุ่งนางดำ) ม.3,คุระ,คุระบุรี,พังงา,9.22413,98.37225
262,WF37,บ้านนาใต้ ม.6,โคกกลอย,ตะกั่วทุ่ง,พังงา,8.278301,98.290301
263,WF38,บ้านป่าทราย หมู่ที่ 5,เกาะยาวน้อย,เกาะยาว,พังงา,8.102932,98.623174
264,WF39,อบต.ท้ายเหมือง ม.9,ท้ายเหมือง,ท้ายเหมือง,พังงา,8.40746,98.245491
265,WH01,ท่าเทียบเรือหาดราไวย์,ราไวย์,เมือง,ภูเก็ต,7.7751,98.32742
266,WH02,บริเวณโรงเรียนเกาะโหลน,ราไวย์,เมือง,ภูเก็ต,7.79025,98.359306
267,WH03,บริเวณท่าเรืออ่าวฉลอง,ฉลอง,เมือง,ภูเก็ต,7.82148,98.34422
268,WH04,ศูนย์พัฒนาเด็กเล็กเทศบาลรัษฎา (แหลมตุ๊กแก),รัษฎา,เมือง,ภูเก็ต,7.87586,98.42141
269,WH05,หาดกะตะ (ด้านข้างเทศบาลกะรน),กะรน,เมือง,ภูเก็ต,7.816567,98.299772
270,WH06,ข้าง อปพร. (หาดกะรน),กะรน,เมือง,ภูเก็ต,7.83975,98.29503
271,WH07,ติดกับโรงแรมกมลา บีช ฮานีลากูน่าภูเก็ต,กมลา,กะทู้,ภูเก็ต,7.95373,98.2828
272,WH08,บริเวณโรงเรียนวัดมงคลวราราม,สาคู,ถลาง,ภูเก็ต,8.0944,98.30165
273,WH09,หาดไม้ขาว,ไม้ขาว,ถลาง,ภูเก็ต,8.126028,98.301509
274,WH11,ทางขึ้นจุดชมวิวเขาขาด,วิชิต,เมือง,ภูเก็ต,7.82184,98.38451
275,WH12,สวนสาธารณะ บ้านสะพานหิน,ตลาดใหญ่,เมือง,ภูเก็ต,7.864416,98.400871
276,WH13,อ่าวปอ,ป่าคลอก,ถลาง,ภูเก็ต,8.06091,98.43181
277,WH14,หาดในหาน,ราไวย์,เมือง,ภูเก็ต,7.77687,98.30589
278,WH15,ติดกับโรงแรมกะตะธานี,กะรน,เมือง,ภูเก็ต,7.8053,98.29932
279,WH16,ประปาเกาะราชาใหญ่,ราไวย์,เมือง,ภูเก็ต,7.60568,98.36861
280,WH17,โรงแรมชีวิว หาดป่าตอง,ป่าตอง,กะทู้,ภูเก็ต,7.88548,98.2875
281,WH18,ศูนย์ช่วยเหลือนักท่องเที่ยว หาดป่าตอง,ป่าตอง,กะทู้,ภูเก็ต,7.89589,98.295488
282,WH19,โรงแรมซันเซ็ท หาดป่าตอง,ป่าตอง,กะทู้,ภูเก็ต,7.91286,98.294596
283,WJ01,บ้านทะเลนอก,กำพวน,สุขสำราญ,ระนอง,9.46331,98.44168
284,WJ02,บ้านบางเบน,ม่วงกลาง,กะเปอร์,ระนอง,9.60505,98.46833
285,WJ03,ศูนย์บริการสุขภาพตำบลกำพวน หมู่ 7,กำพวน,สุขสำราญ,ระนอง,9.37698,98.40524
286,WJ04,หาดประพาส,กำพวน,สุขสำราญ,ระนอง,9.37056,98.39706
287,WJ05,บริเวณโรงเรียนบ้านแหลมนา,นาคา,สุขสำราญ,ระนอง,9.56274,98.46943
288,WJ06,บ้านท่ากลาง ม.4,กำพวน,สุขสำราญ,ระนอง,9.38905,98.4195
289,WJ07,บ้านปากคลอง ม.1,ปากน้ำ,เมือง,ระนอง,9.94259,98.594444
290,WJ08,บ้านบางมัน ม.1,นาคา,สุขสำราญ,ระนอง,9.43825,98.43719
291,WJ09,บ้านบางกล้วยนอก ม.3,นาคา,สุขสำราญ,ระนอง,9.39741,98.4118
292,WJ10,บ้านเกาะทรายดำหน้านอก ม.5,หงาว,เมือง,ระนอง,9.76367,98.51185
293,WJ11,บ้านเกาะพยาม ม.1,เกาะพยาม,เมือง,ระนอง,9.95419,98.62352
294,WJ12,บ้านเกาะช้าง ม.2,เกาะพยาม,เมือง,ระนอง,9.8413,98.44311
295,WJ13,บ้านเกาะคณฑี ม.2,ปากน้ำ,เมือง,ระนอง,9.74225,98.39963
296,WJ25,ท่าเทียบเรือแหลมพ่อตา บ้านบางหิน,บางหิน,กะเปอร์,ระนอง,9.561058,98.560315
297,WJ26,อาคารหลบภัยสึนามิ บ้านหินช้าง ม.3,ปากน้ำ,เมืองระนอง,ระนอง,10.053851,98.642657
298,WK01,บ้านปากบารา หมู่ที่ 2,ปากน้ำ,ละงู,สตูล,6.85533,99.72572
299,WK02,บ้านบ่อเจ็ดลูก หมู่ที่ 1,ปากน้ำ,ละงู,สตูล,6.87175,99.7008
300,WK03,บ้านตันหยงกาโบย หมู่ที่ 2,เมือง,เมือง,สตูล,6.5083,100.09643
301,WK04,อุทยานแห่งชาติเกาะตารุเตา,ปากน้ำ,เมือง,สตูล,6.49141,99.30883
302,WK05,เกาะหลีเป๊ะ หมู่ที่ 7,เกาะสาหร่าย,เมือง,สตูล,6.491799,99.308489
303,WK06,โรงเรียนบ้านบุโบย หมู่ที่ 3,แหลมสน,ละงู,สตูล,6.94883,99.6909
304,WK07,บ้านมะหลัง ม.1,ทุ่งบุหลัง,ทุ่งหว้า,สตูล,7.06881,99.69308
305,WK08,บ้านทุ่งริ้น ม.1,สาคร,ท่าแพ,สตูล,6.74664,99.91931
306,WK09,โรงเรียนบ้านเกาะสาหร่ายชัยพัฒนา,เกาะสาหร่าย,เมือง,สตูล,6.66597,99.85502
307,WK10,ข้างโรงสีข้าวชุมชนบ้านเกาะระยะโตดนุ้ย หมู่ที่ 4,เกาะสาหร่าย,เมือง,สตูล,6.68019,99.86691
308,WK11,โรงเรียนบ้านเกาะบุโหลน (ดอน) หมู่ที่ 3,ปากน้ำ,ละงู,สตูล,6.85741,99.59166
309,WK12,บ้านตันหยงกลิง หมู่ที่ 3,เกาะสาหร่าย,เมือง,สตูล,6.70497,99.86338
310,WK13,บ้านเกาะยาว หมู่ที่,ปูยู,เมือง,สตูล,6.46635,100.07375
311,WK14,หาดราไวย์ หมู่ที่ 4,ขอนคลาน,ทุ่งหว้า,สตูล,6.9999,99.67137
312,WK15,บ้านตันหยงอุมา หมู่ 1,เกาะสาหร่าย,เมือง,สตูล,6.73182,99.8541
313,WK16,บ้านบากันใหญ่ หมู่ 2,เกาะสาหร่าย,เมือง,สตูล,6.71524,99.84344
314,WK17,บ้านสนกลาง หมู่ 4,แหลมสน,ละงู,สตูล,6.91612,99.68516
315,WK18,บ้านตันหยงโป,ตันหยงโป,เมือง,สตูล,6.59136,99.95687
316,WK19,บ้านหาดทรายยาว,ตันหยงโป,เมือง,สตูล,6.61625,99.95156
317,WK20,บ้านปากบาง หมู่ 2,ละงู,ละงู,สตูล,6.8315,99.78995
318,WK21,โรงเรียนบ้านตันหยงละไน้,แหลมสน,ละงู,สตูล,6.96584,99.68706
319,WK22,บ้านทุ่งสะโบ๊ะ หมู่ 2,ทุ่งบุหลัง,ทุ่งหว้า,สตูล,7.02563,99.67624
320,WN01,ร.ร.บ้านแหลมขาม,เขาไม้แก้ว,สิเกา,ตรัง,7.6252,99.27065
321,WN02,อ่าวพังกา ม.2,เกาะลิบง,กันตัง,ตรัง,7.36376,99.30141
322,WN03,เกาะกระดาน,เกาะลิบง,กันตัง,ตรัง,7.30898,99.2592
323,WN04,โรงเรียนบ้านเกาะมุกต์,เกาะลิบง,กันตัง,ตรัง,7.35633,99.29722
324,WN05,เกาะสุกร,เกาะสุกร,ปะเหลียน,ตรัง,7.09061,99.60333
325,WN06,โรงเรียนบ้านหลังเขา ม. 5,เกาะลิบง,กันตัง,ตรัง,7.22447,99.36708
326,WN07,เกาะหลาวเหลียงเหนือ,เกาะสุกร,ปะเหลียน,ตรัง,7.12053,99.42537
327,WN08,เกาะหลาวเหลียงใต้,เกาะสุกร,ปะเหลียน,ตรัง,7.10888,99.42997
328,WN09,เกาะเภตรา,เกาะสุกร,ปะเหลียน,ตรัง,7.04404,99.47344
329,WN10,อบต.ไม้ฝาด,ไม้ฝาด,สิเกา,ตรัง,7.495096,99.328118
330,WN11,หลังปั๊มน้ำมัน บริเวณหาดยาวเจ้าไหม,เกาะลิบง,กันตัง,ตรัง,7.31028,99.39995
331,WN12,บ้านทุ่งรวงทอง ม.4,ท่าข้าม,ปะเหลียน,ตรัง,7.11672,99.66692
332,WN13,บ้านหาดทรายทอง ม.4,เกาะสุกร,ปะเหลียน,ตรัง,7.10948,99.57909
333,WN14,บ้านหยงสตาร์ ม.2,ท่าข้าม,ปะเหลียน,ตรัง,7.12854,99.69396
334,WN15,บ้านบ่อหิน ม.6,บ่อหิน,สิเกา,ตรัง,7.578901,99.290582
335,WN16,หาดราชมงคล ม.3,ไม้ฝาด,สิเกา,ตรัง,7.52301,99.30815
336,WN17,บริเวณหาดปากเมง ม.3,ไม้ฝาด,สิเกา,ตรัง,7.48507,99.33151
337,WN18,หาดเจ้าไหม ม.5,ไม้ฝาด,สิเกา,ตรัง,7.42329,99.34755
338,WN19,บ้านแหลมไทร 11.3,เขาไม้แก้ว,สิเกา,ตรัง,7.62954,99.24402
339,WN20,บ้านแหลมปอ ม.5,หาดสำราญ,หาดสำราญ,ตรัง,7.23547,99.53647
340,WN21,บ้านทุ่งเปลว ม.3,ตะเสะ,หาดสำราญ,ตรัง,7.16717,99.57584
341,WN22,บ้านบาตูปูเต๊ะ ม.4,เกาะลิบง,กันตัง,ตรัง,7.23057,99.3929
342,WN23,โรงเรียนบ้านมดตะนอย ม.3,เกาะลิบง,กันตัง,ตรัง,7.30639,99.41944
343,WN24,ท่าเทียบเรือหาดปากเมง ม.4,ไม้ฝาด,สิเกา,ตรัง,7.50673,99.31397
344,WN25,บ้านโคกสะท้อน ม.1,เกาะลิบง,กันตัง,ตรัง,7.30798,99.39537
345,EA08,ศูนย์บริการนักท่องเที่ยว ม.4,อ่างศิลา,เมือง,ชลบุรี,13.33798,100.92775
346,EA09,สวนสาธารณะ อบต.คลองตำหรุ หมู่ 1,คลองตำหรุ,เมือง,ชลบุรี,13.4449,100.99258
347,EA10,สวนเฉลิมพระเกียรติ ร.9 ชายทะเลบางพระ หมู่ 1,บางพระ,ศรีราชา,ชลบุรี,13.20902,100.93472
348,EA11,สวนสาธารณะเทศบาลเมืองศรีราชา,ศรีราชา,ศรีราชา,ชลบุรี,13.16933,100.9248
349,EB06,เทศบาลตำบลสุนทรภู่ หมู่ 1,ชากพง,แกลง,ระยอง,12.65972,101.5938
350,EB08,อบต.ตะพง หมู่ 12,ตะพง,เมือง,ระยอง,12.64633,101.35117
351,EB09,บริเวณอนุสรณ์สถานเรือรบประแส หมู่ 8,ปากน้ำประแส,แกลง,ระยอง,12.6967,101.7041
352,EB10,เทศบาลตำบลแกลงกะเฉด หมู่ 6,แกลงกะเฉด,เมือง,ระยอง,12.62839,101.49758
353,EC08,ปากน้ำแขมหนู ม.9,ตะกาดเง้า,ท่าใหม่,จันทบุรี,12.54221,101.95822
354,EC10,คุ้งวิมาน ม.7,สนามไขย,นายายอาม,จันทบุรี,12.60523,101.87471
355,EC11,อบต.บางกะไชย,บางกะไชย,แหลมสิงห์,จันทบุรี,12.53176,102.01043
356,EC12,บริเวณท่าเทียบเรือประมง ม.1,กระแจะ,นายายอาม,จันทบุรี,12.65953,101.84151
357,ED06,หาดลานทราย ม.2,แหลมกลัด,เมือง,ตราด,12.15202,102.62511
358,ED08,อ่าวตาลคู่ ม.1,บางปิด,แหลมงอบ,ตราด,12.20387,102.27982
359,ED09,อาคารเอนกประสงค์ ม.2 เทศบาลตำบลน้ำเชี่ยว,น้ำเชี่ยว,แหลมงอบ,ตราด,12.1902,102.46231
360,ED10,อนุสรณ์สถานยุทธนาวี ม.1,แหลมงอบ,แหลมงอบ,ตราด,12.17668,102.3902